"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Burkina Faso","BFA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3864426","3962804","4043326","4129515","4221046","4317469","4403300","4495808","4594103","4695916","4801025","4895789","4996386","5101630","5211766","5324918","5428597","5543647","5662495","5782783","5904585","6015190","6129355","6243973","6356666","6568637","6784066","7005191","7234205","7472710","7602386",
"Bangladesh","BGD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34549269","35582011","36652371","37770097","38939686","40158722","41332915","42556756","43816553","45096775","46396327","47594676","48822075","50053928","51262019","52426890","53403755","54334217","55251878","56177973","57130924","58198712","59279630","60366480","61482433","62591424","63702950","67456048","68835576","70160176","67225427",
"Bulgaria","BGR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3998556","3981388","3968612","3900040","3848636","3789075","3728148","3661442","3587797","3513739","3437093","3508326","3419146","3349557","3392066","3333191","3439496","3513312","3576886","3501419","3416246","3332676","3342114","3367629","3360446","3333925","3264392","3357463","3327434","3377388","3236488",
"Bahrain","BHR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217077","222213","229882","238536","247949","257703","264022","271329","280100","291249","305458","325873","349789","378707","413261","453367","501699","556595","614166","668266","714127","726937","739595","747277","758317","777884","817934","869477","927124","981666","1009696",
"Bahamas, The","BHS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124675","129368","133612","137507","141361","144502","146806","149379","152220","155071","157815","161449","165030","168461","171840","175321","179687","183848","187765","191565","195393","199127","203137","207177","211216","215088","219167","222770","226110","229477","220959",
"Bosnia and Herzegovina","BIH","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1676279","1677089","1642191","1582344","1521123","1462879","1426728","1417207","1408540","1393728","1388671","1385363","1383872","1386537","1385362","1372767","1370139","1396443","1422431","1419348","1434403","1409640","1404455","1377997","1387330","1364102","1347154","1329017","1319663","1336173","1297874",
"Belarus","BLR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4653477","4644293","4676655","4714558","4762570","4805611","4806005","4771849","4752011","4759530","4804502","4840892","4874545","4906782","4936618","4964064","4980941","5006568","5035730","5065774","5090057","5097872","5103359","5106707","5106718","5106271","5106110","5097254","5087556","5005260","4915786",
"Belize","BLZ","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62013","63500","64762","65988","67476","69726","72890","76791","81021","85313","89516","93648","97770","101940","106267","110817","114809","118885","123027","127218","131448","136109","140785","145527","151512","156865","164049","168353","173734","178992","173007",
"Bermuda","BMU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2872172","2947511","3016259","3098938","3186388","3276475","3362125","3452899","3538304","3623057","3710275","3817135","3926973","4039626","4154409","4271923","4389694","4420347","4541908","4641196","4740332","4836945","4744735","4875374","5124797","4925696","5079092","5292226","5631099","5758759","5430790",
